€195,000 	 Ross,Kilbaha,Loop Head Peninsula,Kilrush,Co. Clare
€349,500 	 Riverdale, Bridgetown, Clare
€167,500 	 40 Dun na Ri,Shannon,Co Clare,V14 TX04
€299,000 	 48 Gort Na Ri,Ennis,Co. Clare,V95 E3YX
€400,000 	 Sleepy Hollow,Wood Road,Cratloe,Co Clare,V95 W0V5
€70,000 	 Site at Ballyvalley, Killaloe, Clare
AMV €140,000 	 Maghera, Corofin, Co. Clare
€270,000 	 Monaco House, New Road, Ennis, Clare
€190,000 	 Cappantymore, Meelick, Co. Clare
POA 	 Main Street, Miltown Malbay, Clare
€139,000 	 25 Lakeside View, Mountshannon, Clare
€260,000 	 8 Dun Aras,Shannon,Co Clare,V14 W992
€180,000 	 Main Street, Mullagh, Clare
€90,000 	 Moyasta, Kilrush, Clare
€225,000 	 Lislanahan Road, Kilkee, Clare
€118,500 	 3 Glencourt, Griffin Road, Kilrush, Clare
€400,000 	 Killard, Doonbeg, Clare
€190,000 	 23 Mount Charles Terrace, Kilkee, Clare
€125,000 	 Ross, Kilbaha, Clare
€100,000 	 Kilmihil, Kilmihil, Clare
